CUI,LAT,TS,LUI,STT,SUI,ISPREF,AUI,SAUI,SCUI,SDUI,SAB,TTY,CODE,STR,SRL,SUPPRESS,CVF,dummy,STYs,ICD10CMCode,concept_code,concept_id
C2844726,ENG,P,L9402214,PF,S12055833,Y,A18919662,,,S52.182Q,ICD10CM,PT,S52.182Q,"Other fracture of upper end of left radius, subsequent encounter for open fracture type I or II with malunion",4,N,,,['Injury or Poisoning'],S52182Q,S52.182Q,45588229
C2844747,ENG,P,L9385645,PF,S11689923,Y,A17805192,,,S52.201,ICD10CM,HT,S52.201,Unspecified fracture of shaft of right ulna,4,N,256.0,,['Injury or Poisoning'],S52201,S52.201,12857
C2844759,ENG,P,L9344576,PF,S11689921,N,A17830922,,,S52.201N,ICD10CM,PT,S52.201N,"Unspecified fracture of shaft of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",4,N,,,['Injury or Poisoning'],S52201N,S52.201N,45549688
C2844769,ENG,P,L9405817,PF,S11689832,N,A17830926,,,S52.202E,ICD10CM,PT,S52.202E,"Unspecified fracture of shaft of left ulna, subsequent encounter for open fracture type I or II with routine healing",4,N,,,['Injury or Poisoning'],S52202E,S52.202E,45588235
C2844773,ENG,P,L9405818,PF,S11689833,N,A17869117,,,S52.202J,ICD10CM,PT,S52.202J,"Unspecified fracture of shaft of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",4,N,,,['Injury or Poisoning'],S52202J,S52.202J,45544867
C2844784,ENG,P,L9405843,PF,S11689996,N,A17818131,,,S52.209C,ICD10CM,PT,S52.209C,"Unspecified fracture of shaft of unspecified ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",4,N,,,['Injury or Poisoning'],S52209C,S52.209C,45602712
C2844798,ENG,S,L9409999,VO,S11638570,Y,A17805198,,,S52.21,ICD10CM,HT,S52.21,Greenstick fracture of shaft of ulna,4,N,256.0,,['Injury or Poisoning'],S5221,S52.21,1573139
C2844811,ENG,P,L10347226,PF,S12931160,Y,A20164313,,,S52.212P,ICD10CM,PT,S52.212P,"Greenstick fracture of shaft of left ulna, subsequent encounter for fracture with malunion",4,N,,,['Injury or Poisoning'],S52212P,S52.212P,45544868
C2844812,ENG,P,L9399715,PF,S11638535,N,A17805199,,,S52.212S,ICD10CM,PT,S52.212S,"Greenstick fracture of shaft of left ulna, sequela",4,N,,,['Injury or Poisoning'],S52212S,S52.212S,45578502
C2844814,ENG,P,L9399721,PF,S11638571,N,A17805200,,,S52.219A,ICD10CM,PT,S52.219A,"Greenstick fracture of shaft of unspecified ulna, initial encounter for closed fracture",4,N,,,['Injury or Poisoning'],S52219A,S52.219A,45593116
C2844828,ENG,P,L9388994,PF,S11632301,N,A17843619,,,S52.221G,ICD10CM,PT,S52.221G,"Displaced transverse fracture of shaft of right ulna, subsequent encounter for closed fracture with delayed healing",4,N,,,['Injury or Poisoning'],S52221G,S52.221G,45602719
C2844835,ENG,P,L9358146,PF,S11632306,N,A17805207,,,S52.221Q,ICD10CM,PT,S52.221Q,"Displaced transverse fracture of shaft of right ulna, subsequent encounter for open fracture type I or II with malunion",4,N,,,['Injury or Poisoning'],S52221Q,S52.221Q,45607532
