code,code_type,description,concept_id,code_class,concept_name,domain_id,concept_code,domain_id,concept_class_id,vocabulary_id,mapped_concept_id,mapped_concept_name,mapped_domain_id,mapped_concept_code,mapped_concept_class_id,mapped_vocabulary_id
F10.26,ICD10CM,Alcohol dependence with alcohol-induced persisting amnestic disorder,45595847,alcohol,Alcohol dependence with alcohol-induced persisting amnestic disorder,Condition,F10.26,Condition,5-char billing code,ICD10CM,435243,Alcohol dependence,Condition,66590003,Disorder,SNOMED
F10.27,ICD10CM,Alcohol dependence with alcohol-induced persisting dementia,45566776,alcohol,Alcohol dependence with alcohol-induced persisting dementia,Condition,F10.27,Condition,5-char billing code,ICD10CM,378726,Dementia associated with alcoholism,Condition,281004,Disorder,SNOMED
F10.27,ICD10CM,Alcohol dependence with alcohol-induced persisting dementia,45566776,alcohol,Alcohol dependence with alcohol-induced persisting dementia,Condition,F10.27,Condition,5-char billing code,ICD10CM,435243,Alcohol dependence,Condition,66590003,Disorder,SNOMED
F10.280,ICD10CM,Alcohol dependence with alcohol-induced anxiety disorder,45566777,alcohol,Alcohol dependence with alcohol-induced anxiety disorder,Condition,F10.280,Condition,6-char billing code,ICD10CM,435243,Alcohol dependence,Condition,66590003,Disorder,SNOMED
F10.280,ICD10CM,Alcohol dependence with alcohol-induced anxiety disorder,45566777,alcohol,Alcohol dependence with alcohol-induced anxiety disorder,Condition,F10.280,Condition,6-char billing code,ICD10CM,4146660,Anxiety disorder caused by alcohol,Condition,34938008,Disorder,SNOMED
F10.281,ICD10CM,Alcohol dependence with alcohol-induced sexual dysfunction,45591083,alcohol,Alcohol dependence with alcohol-induced sexual dysfunction,Condition,F10.281,Condition,6-char billing code,ICD10CM,435243,Alcohol dependence,Condition,66590003,Disorder,SNOMED
F10.281,ICD10CM,Alcohol dependence with alcohol-induced sexual dysfunction,45591083,alcohol,Alcohol dependence with alcohol-induced sexual dysfunction,Condition,F10.281,Condition,6-char billing code,ICD10CM,4302744,Alcohol-induced sexual dysfunction,Observation,78524005,Clinical Finding,SNOMED
F10.282,ICD10CM,Alcohol dependence with alcohol-induced sleep disorder,45600696,alcohol,Alcohol dependence with alcohol-induced sleep disorder,Condition,F10.282,Condition,6-char billing code,ICD10CM,435243,Alcohol dependence,Condition,66590003,Disorder,SNOMED
F10.282,ICD10CM,Alcohol dependence with alcohol-induced sleep disorder,45600696,alcohol,Alcohol dependence with alcohol-induced sleep disorder,Condition,F10.282,Condition,6-char billing code,ICD10CM,37164786,Sleep disorder caused by ethanol,Condition,1234776000,Disorder,SNOMED
F10.288,ICD10CM,Alcohol dependence with other alcohol-induced disorder,45571709,alcohol,Alcohol dependence with other alcohol-induced disorder,Condition,F10.288,Condition,6-char billing code,ICD10CM,435243,Alcohol dependence,Condition,66590003,Disorder,SNOMED
F10.29,ICD10CM,Alcohol dependence with unspecified alcohol-induced disorder,45591084,alcohol,Alcohol dependence with unspecified alcohol-induced disorder,Condition,F10.29,Condition,5-char billing code,ICD10CM,435243,Alcohol dependence,Condition,66590003,Disorder,SNOMED
F10.920,ICD10CM,"Alcohol use, unspecified with intoxication, uncomplicated",45595851,alcohol,"Alcohol use, unspecified with intoxication, uncomplicated",Condition,F10.920,Condition,6-char billing code,ICD10CM,4104431,Alcohol intoxication,Condition,25702006,Disorder,SNOMED
F10.921,ICD10CM,"Alcohol use, unspecified with intoxication delirium",45566778,alcohol,"Alcohol use, unspecified with intoxication delirium",Condition,F10.921,Condition,6-char billing code,ICD10CM,4088373,Alcohol intoxication delirium,Condition,18653004,Disorder,SNOMED
F10.929,ICD10CM,"Alcohol use, unspecified with intoxication, unspecified",45552432,alcohol,"Alcohol use, unspecified with intoxication, unspecified",Condition,F10.929,Condition,6-char billing code,ICD10CM,4104431,Alcohol intoxication,Condition,25702006,Disorder,SNOMED
F10.930,ICD10CM,"Alcohol use, unspecified with withdrawal, uncomplicated",725277,alcohol,"Alcohol use, unspecified with withdrawal, uncomplicated",Condition,F10.930,Condition,6-char billing code,ICD10CM,375519,Alcohol withdrawal,Condition,191480000,Disorder,SNOMED
F10.931,ICD10CM,"Alcohol use, unspecified with withdrawal delirium",725278,alcohol,"Alcohol use, unspecified with withdrawal delirium",Condition,F10.931,Condition,6-char billing code,ICD10CM,377830,Alcohol withdrawal delirium,Condition,8635005,Disorder,SNOMED
F10.932,ICD10CM,"Alcohol use, unspecified with withdrawal with perceptual disturbance",725279,alcohol,"Alcohol use, unspecified with withdrawal with perceptual disturbance",Condition,F10.932,Condition,6-char billing code,ICD10CM,375519,Alcohol withdrawal,Condition,191480000,Disorder,SNOMED
F10.932,ICD10CM,"Alcohol use, unspecified with withdrawal with perceptual disturbance",725279,alcohol,"Alcohol use, unspecified with withdrawal with perceptual disturbance",Condition,F10.932,Condition,6-char billing code,ICD10CM,37165554,Perceptual disturbance due to alcohol withdrawal,Condition,1255066009,Disorder,SNOMED
F10.939,ICD10CM,"Alcohol use, unspecified with withdrawal, unspecified",725280,alcohol,"Alcohol use, unspecified with withdrawal, unspecified",Condition,F10.939,Condition,6-char billing code,ICD10CM,375519,Alcohol withdrawal,Condition,191480000,Disorder,SNOMED
F10.94,ICD10CM,"Alcohol use, unspecified with alcohol-induced mood disorder",45542791,alcohol,"Alcohol use, unspecified with alcohol-induced mood disorder",Condition,F10.94,Condition,5-char billing code,ICD10CM,37164789,Mood disorder caused by ethanol,Condition,1234779007,Disorder,SNOMED
F10.950,ICD10CM,"Alcohol use, unspecified with alcohol-induced psychotic disorder with delusions",45566779,alcohol,"Alcohol use, unspecified with alcohol-induced psychotic disorder with delusions",Condition,F10.950,Condition,6-char billing code,ICD10CM,442582,Alcohol-induced psychotic disorder with delusions,Condition,61144001,Disorder,SNOMED
F10.951,ICD10CM,"Alcohol use, unspecified with alcohol-induced psychotic disorder with hallucinations",45591087,alcohol,"Alcohol use, unspecified with alcohol-induced psychotic disorder with hallucinations",Condition,F10.951,Condition,6-char billing code,ICD10CM,372607,Alcohol hallucinosis,Condition,7052005,Disorder,SNOMED
F10.959,ICD10CM,"Alcohol use, unspecified with alcohol-induced psychotic disorder, unspecified",45586192,alcohol,"Alcohol use, unspecified with alcohol-induced psychotic disorder, unspecified",Condition,F10.959,Condition,6-char billing code,ICD10CM,37164773,Psychosis caused by ethanol,Condition,1231846001,Disorder,SNOMED
F10.96,ICD10CM,"Alcohol use, unspecified with alcohol-induced persisting amnestic disorder",45566780,alcohol,"Alcohol use, unspecified with alcohol-induced persisting amnestic disorder",Condition,F10.96,Condition,5-char billing code,ICD10CM,374623,Alcohol amnestic disorder,Condition,73097000,Disorder,SNOMED
F10.97,ICD10CM,"Alcohol use, unspecified with alcohol-induced persisting dementia",45547675,alcohol,"Alcohol use, unspecified with alcohol-induced persisting dementia",Condition,F10.97,Condition,5-char billing code,ICD10CM,378726,Dementia associated with alcoholism,Condition,281004,Disorder,SNOMED
F10.980,ICD10CM,"Alcohol use, unspecified with alcohol-induced anxiety disorder",45566781,alcohol,"Alcohol use, unspecified with alcohol-induced anxiety disorder",Condition,F10.980,Condition,6-char billing code,ICD10CM,4146660,Anxiety disorder caused by alcohol,Condition,34938008,Disorder,SNOMED
F10.981,ICD10CM,"Alcohol use, unspecified with alcohol-induced sexual dysfunction",45538009,alcohol,"Alcohol use, unspecified with alcohol-induced sexual dysfunction",Observation,F10.981,Observation,6-char billing code,ICD10CM,4302744,Alcohol-induced sexual dysfunction,Observation,78524005,Clinical Finding,SNOMED
F10.982,ICD10CM,"Alcohol use, unspecified with alcohol-induced sleep disorder",45562005,alcohol,"Alcohol use, unspecified with alcohol-induced sleep disorder",Condition,F10.982,Condition,6-char billing code,ICD10CM,37164786,Sleep disorder caused by ethanol,Condition,1234776000,Disorder,SNOMED
F10.988,ICD10CM,"Alcohol use, unspecified with other alcohol-induced disorder",45576497,alcohol,"Alcohol use, unspecified with other alcohol-induced disorder",Condition,F10.988,Condition,6-char billing code,ICD10CM,36714559,Disorder caused by alcohol,Condition,719848005,Disorder,SNOMED
F10.99,ICD10CM,"Alcohol use, unspecified with unspecified alcohol-induced disorder",45605456,alcohol,"Alcohol use, unspecified with unspecified alcohol-induced disorder",Condition,F10.99,Condition,5-char billing code,ICD10CM,36714559,Disorder caused by alcohol,Condition,719848005,Disorder,SNOMED
G62.1,ICD10CM,Alcoholic polyneuropathy,35207456,alcohol,Alcoholic polyneuropathy,Condition,G62.1,Condition,4-char billing code,ICD10CM,378421,Alcoholic polyneuropathy,Condition,7916009,Disorder,SNOMED
I42.6,ICD10CM,Alcoholic cardiomyopathy,35207761,alcohol,Alcoholic cardiomyopathy,Condition,I42.6,Condition,4-char billing code,ICD10CM,37164777,Alcoholic cardiomyopathy,Condition,1234750000,Disorder,SNOMED
K29.20,ICD10CM,Alcoholic gastritis without bleeding,45596315,alcohol,Alcoholic gastritis without bleeding,Condition,K29.20,Condition,5-char billing code,ICD10CM,195300,Alcoholic gastritis,Condition,2043009,Disorder,SNOMED
