code,code_type,description,concept_id,code_class
I70.343,ICD10CM,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of ankle,45557574,pvd
I70.344,ICD10CM,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of heel and midfoot,45552829,pvd
I70.361,ICD10CM,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, right leg",45533484,pvd
I70.369,ICD10CM,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, unspecified extremity",45572120,pvd
I70.392,ICD10CM,"Other atherosclerosis of unspecified type of bypass graft(s) of the extremities, left leg",45562392,pvd
I70.411,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with intermittent claudication, right leg",45576906,pvd
I70.423,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with rest pain, bilateral legs",45562396,pvd
I70.439,ICD10CM,Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of unspecified site,45591500,pvd
I70.448,ICD10CM,Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of other part of lower leg,45548065,pvd
I70.461,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, right leg",45567216,pvd
I70.501,ICD10CM,"Unspecified atherosclerosis of nonautologous biological bypass graft(s) of the extremities, right leg",45552831,pvd
I70.533,ICD10CM,Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of ankle,45548066,pvd
I70.563,ICD10CM,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene, bilateral legs",45533489,pvd
I70.618,ICD10CM,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with intermittent claudication, other extremity",45548070,pvd
I70.621,ICD10CM,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with rest pain, right leg",45533492,pvd
I70.661,ICD10CM,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with gangrene, right leg",45567218,pvd
I70.668,ICD10CM,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with gangrene, other extremity",45586618,pvd
I70.669,ICD10CM,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with gangrene, unspecified extremity",45538432,pvd
I70.691,ICD10CM,"Other atherosclerosis of nonbiological bypass graft(s) of the extremities, right leg",45567219,pvd
I70.703,ICD10CM,"Unspecified atherosclerosis of other type of bypass graft(s) of the extremities, bilateral legs",45548072,pvd
I70.731,ICD10CM,Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of thigh,45552840,pvd
I70.733,ICD10CM,Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of ankle,45533494,pvd
I70.739,ICD10CM,Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of unspecified site,45552842,pvd
I70.743,ICD10CM,Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of ankle,45586621,pvd
I70.761,ICD10CM,"Atherosclerosis of other type of bypass graft(s) of the extremities with gangrene, right leg",45548076,pvd
I70.762,ICD10CM,"Atherosclerosis of other type of bypass graft(s) of the extremities with gangrene, left leg",45538437,pvd
I70.793,ICD10CM,"Other atherosclerosis of other type of bypass graft(s) of the extremities, bilateral legs",45538438,pvd
I70.90,ICD10CM,Unspecified atherosclerosis,45581810,pvd
Z95.818,ICD10CM,Presence of other cardiac implants and grafts,45576219,pvd
