CUI,LAT,TS,LUI,STT,SUI,ISPREF,AUI,SAUI,SCUI,SDUI,SAB,TTY,CODE,STR,SRL,SUPPRESS,CVF,dummy,STYs,PREFIX_CODE,ICD10CMCode,concept_code,concept_id,domain_id
C0019104,ENG,S,L0573488,PF,S0752910,N,A17811909,,,A99,ICD10CM,PT,A99,Unspecified viral hemorrhagic fever,4,N,256.0,,['Disease or Syndrome'],A99,A99,A99,35205726,Condition
C0019562,ENG,P,L0211478,VC,S0282999,N,A34619657,,,Q85.83,ICD10CM,PT,Q85.83,Von Hippel-Lindau syndrome,4,N,256.0,,['Disease or Syndrome'],Q85,Q8583,Q85.83,37402972,Condition
C0019655,ENG,S,L0583590,PF,S0661409,N,A17862894,,,B39.9,ICD10CM,PT,B39.9,"Histoplasmosis, unspecified",4,N,256.0,,['Disease or Syndrome'],B39,B399,B39.9,35205841,Condition
C0020461,ENG,P,L0020461,PF,S0050379,N,A17825488,,,E87.5,ICD10CM,PT,E87.5,Hyperkalemia,4,N,256.0,,['Finding'],E87,E875,E87.5,35207097,Condition
C0020496,ENG,P,L0020496,PF,S0218758,N,A17866130,,,M85.2,ICD10CM,PT,M85.2,Hyperostosis of skull,4,N,256.0,,['Disease or Syndrome'],M85,M852,M85.2,35209098,Condition
C0020505,ENG,S,L0032572,PF,S0004505,N,A17829001,,,R63.2,ICD10CM,PT,R63.2,Polyphagia,4,N,256.0,,['Finding'],R63,R632,R63.2,35211407,Observation
C0020555,ENG,S,L0315603,PF,S0396758,N,A17814102,,,L68.3,ICD10CM,PT,L68.3,Polytrichia,4,N,256.0,,['Disease or Syndrome'],L68,L683,L68.3,35208618,Condition
C0020555,ENG,S,L0854613,PF,S0905720,N,A17852338,,,L68.9,ICD10CM,PT,L68.9,"Hypertrichosis, unspecified",4,N,256.0,,['Disease or Syndrome'],L68,L689,L68.9,35208620,Condition
C0020594,ENG,P,L0020594,VC,S0000169,N,A17863696,,,F52.0,ICD10CM,PT,F52.0,Hypoactive sexual desire disorder,4,N,256.0,,['Mental or Behavioral Dysfunction'],F52,F520,F52.0,35207201,Condition
C0020595,ENG,S,L9354531,PF,S11688049,Y,A17786894,,,E27.40,ICD10CM,PT,E27.40,Unspecified adrenocortical insufficiency,4,N,256.0,,['Disease or Syndrome'],E27,E2740,E27.40,45605416,Condition
C0020615,ENG,S,L0585355,PF,S0664131,N,A17838061,,,E16.2,ICD10CM,PT,E16.2,"Hypoglycemia, unspecified",4,N,256.0,,['Disease or Syndrome'],E16,E162,E16.2,35206889,Condition
C0020623,ENG,S,L0023813,PF,S0931705,N,A17774177,,,E78.6,ICD10CM,PT,E78.6,Lipoprotein deficiency,4,N,256.0,,['Finding'],E78,E786,E78.6,35207066,Condition
C0022602,ENG,P,L0022602,PF,S0218664,N,A17775684,,,L57.0,ICD10CM,PT,L57.0,Actinic keratosis,4,N,256.0,,['Neoplastic Process'],L57,L570,L57.0,35208568,Condition
C0022734,ENG,P,L0022734,PF,S0055612,N,A17774317,,,F63.2,ICD10CM,PT,F63.2,Kleptomania,4,N,256.0,,['Mental or Behavioral Dysfunction'],F63,F632,F63.2,35207222,Condition
C0022893,ENG,S,L9400207,PF,S11642784,Y,A17813408,,,H83.09,ICD10CM,PT,H83.09,"Labyrinthitis, unspecified ear",4,N,256.0,,['Disease or Syndrome'],H83,H8309,H83.09,45601011,Condition
C0023182,ENG,S,L16532144,PF,S20033029,Y,A32092361,,,G96.00,ICD10CM,PT,G96.00,"Cerebrospinal fluid leak, unspecified",4,N,256.0,,['Pathologic Function'],G96,G9600,G96.00,725309,Condition
C0023348,ENG,P,L0023348,VCW,S0221425,N,A17862732,,,A30.5,ICD10CM,PT,A30.5,Lepromatous leprosy,4,N,256.0,,['Disease or Syndrome'],A30,A305,A30.5,35205519,Condition
C0023886,ENG,P,L0023886,VCW,S0217565,N,A17824703,,,A06.4,ICD10CM,PT,A06.4,Amebic liver abscess,4,N,256.0,,['Disease or Syndrome'],A06,A064,A06.4,35205434,Condition
C0023895,ENG,S,L0814745,PF,S0931969,N,A17801080,,,K76.9,ICD10CM,PT,K76.9,"Liver disease, unspecified",4,N,256.0,,['Disease or Syndrome'],K76,K769,K76.9,35208368,Condition
C0024221,ENG,S,L0024222,PF,S0217789,N,A17799440,,,D18.1,ICD10CM,PT,D18.1,"Lymphangioma, any site",4,N,,,['Neoplastic Process'],D18,D181,D18.1,35206549,Condition
C0024266,ENG,P,L0024266,VC,S0385193,N,A17773522,,,A87.2,ICD10CM,PT,A87.2,Lymphocytic choriomeningitis,4,N,256.0,,['Disease or Syndrome'],A87,A872,A87.2,35205691,Condition
C0024433,ENG,P,L0024433,PF,S0059341,N,A17815984,,,Q18.4,ICD10CM,PT,Q18.4,Macrostomia,4,N,256.0,,['Congenital Abnormality'],Q18,Q184,Q18.4,35210785,Condition
C0024636,ENG,S,L0594284,PF,S0685183,N,A17852800,,,M26.4,ICD10CM,PT,M26.4,"Malocclusion, unspecified",4,N,256.0,,['Anatomical Abnormality'],M26,M264,M26.4,45591816,Condition
C0024904,ENG,S,L9385933,PF,S11692544,Y,A17800494,,,H70.90,ICD10CM,PT,H70.90,"Unspecified mastoiditis, unspecified ear",4,N,256.0,,['Disease or Syndrome'],H70,H7090,H70.90,45547971,Condition
C0025267,ENG,S,L6713018,PF,S7815368,Y,A17838087,,,E31.21,ICD10CM,PT,E31.21,Multiple endocrine neoplasia [MEN] type I,4,N,,,['Neoplastic Process'],E31,E3121,E31.21,45537967,Condition
C0025268,ENG,S,L6709778,PF,S7815366,Y,A17825423,,,E31.22,ICD10CM,PT,E31.22,Multiple endocrine neoplasia [MEN] type IIA,4,N,,,['Neoplastic Process'],E31,E3122,E31.22,45542751,Condition
C0025281,ENG,S,L9411364,PF,S11649760,Y,A17813402,,,H81.09,ICD10CM,PT,H81.09,"Ménière's disease, unspecified ear",4,N,256.0,,['Disease or Syndrome'],H81,H8109,H81.09,45596174,Condition
