"Code","Description","id"
"A879","Viral meningitis, unspecified",534
"A880","Enteroviral exanthematous fever [Boston exanthem]",535
"A881","Epidemic vertigo",536
"A888","Other specified viral infections of central nervous system",537
"A89","Unspecified viral infection of central nervous system",538
"A90","Dengue fever [classical dengue]",539
"A91","Dengue hemorrhagic fever",540
"A920","Chikungunya virus disease",541
"A921","O'nyong-nyong fever",542
"A922","Venezuelan equine fever",543
"A9230","West Nile virus infection, unspecified",544
"A9231","West Nile virus infection with encephalitis",545
"A9232","West Nile virus infection with other neurologic manifestation",546
"A9239","West Nile virus infection with other complications",547
"A924","Rift Valley fever",548
"A925","Zika virus disease",549
"A928","Other specified mosquito-borne viral fevers",550
"A929","Mosquito-borne viral fever, unspecified",551
"A930","Oropouche virus disease",552
"A931","Sandfly fever",553
"A932","Colorado tick fever",554
"A938","Other specified arthropod-borne viral fevers",555
"A94","Unspecified arthropod-borne viral fever",556
"A950","Sylvatic yellow fever",557
"A951","Urban yellow fever",558
"A959","Yellow fever, unspecified",559
"A960","Junin hemorrhagic fever",560
"A961","Machupo hemorrhagic fever",561
"A962","Lassa fever",562
"A968","Other arenaviral hemorrhagic fevers",563
"A969","Arenaviral hemorrhagic fever, unspecified",564
"A980","Crimean-Congo hemorrhagic fever",565
"A981","Omsk hemorrhagic fever",566
"A982","Kyasanur Forest disease",567
"A983","Marburg virus disease",568
"A984","Ebola virus disease",569
"A985","Hemorrhagic fever with renal syndrome",570
"A988","Other specified viral hemorrhagic fevers",571
"A99","Unspecified viral hemorrhagic fever",572
"B000","Eczema herpeticum",573
"B001","Herpesviral vesicular dermatitis",574
"B002","Herpesviral gingivostomatitis and pharyngotonsillitis",575
"B003","Herpesviral meningitis",576
"B004","Herpesviral encephalitis",577
"B0050","Herpesviral ocular disease, unspecified",578
"B0051","Herpesviral iridocyclitis",579
"B0052","Herpesviral keratitis",580
"B0053","Herpesviral conjunctivitis",581
"B0059","Other herpesviral disease of eye",582
"B007","Disseminated herpesviral disease",583
"B0081","Herpesviral hepatitis",584
"B0082","Herpes simplex myelitis",585
"B0089","Other herpesviral infection",586
"B009","Herpesviral infection, unspecified",587
"B010","Varicella meningitis",588
"B0111","Varicella encephalitis and encephalomyelitis",589
"B0112","Varicella myelitis",590
"B012","Varicella pneumonia",591
"B0181","Varicella keratitis",592
"B0189","Other varicella complications",593
"B019","Varicella without complication",594
"B020","Zoster encephalitis",595
"B021","Zoster meningitis",596
"B0221","Postherpetic geniculate ganglionitis",597
"B0222","Postherpetic trigeminal neuralgia",598
"B0223","Postherpetic polyneuropathy",599
"B0224","Postherpetic myelitis",600
"B0229","Other postherpetic nervous system involvement",601
"B0230","Zoster ocular disease, unspecified",602
"B0231","Zoster conjunctivitis",603
"B0232","Zoster iridocyclitis",604
"B0233","Zoster keratitis",605
"B0234","Zoster scleritis",606
"B0239","Other herpes zoster eye disease",607
"B027","Disseminated zoster",608
"B028","Zoster with other complications",609
"B029","Zoster without complications",610
"B03","Smallpox",611
"B04","Monkeypox",612
"B050","Measles complicated by encephalitis",613
"B051","Measles complicated by meningitis",614
"B052","Measles complicated by pneumonia",615
"B053","Measles complicated by otitis media",616
"B054","Measles with intestinal complications",617
"B0581","Measles keratitis and keratoconjunctivitis",618
"B0589","Other measles complications",619
"B059","Measles without complication",620
"B0600","Rubella with neurological complication, unspecified",621
"B0601","Rubella encephalitis",622
"B0602","Rubella meningitis",623
"B0609","Other neurological complications of rubella",624
"B0681","Rubella pneumonia",625
"B0682","Rubella arthritis",626
"B0689","Other rubella complications",627
"B069","Rubella without complication",628
"B070","Plantar wart",629
"B078","Other viral warts",630
"B079","Viral wart, unspecified",631
"B08010","Cowpox",632
"B08011","Vaccinia not from vaccine",633
"B0802","Orf virus disease",634
"B0803","Pseudocowpox [milker's node]",635
"B0804","Paravaccinia, unspecified",636
"B0809","Other orthopoxvirus infections",637
"B081","Molluscum contagiosum",638
"B0820","Exanthema subitum [sixth disease], unspecified",639
"B0821","Exanthema subitum [sixth disease] due to human herpesvirus 6",640
